codigo_postal,Income_Range,V_PROFESSION_CD,V_SEX,N_COLL_SCHOLARSHIP_LEVEL,EDAD,ID,AGEB
52100,3,2.0,2.0,5,31,610,024-0
99150,2,5.0,1.0,5,27,612,241-2
6720,1,6.0,2.0,2,27,613,139-4
39500,3,6.0,1.0,5,25,616,336-3
42855,1,6.0,2.0,5,41,618,037-0
2940,4,1.0,1.0,5,31,619,058-0
7760,4,1.0,1.0,5,24,621,125-6
9630,7,2.0,1.0,5,31,623,313-4
51355,4,6.0,1.0,5,28,624,069-A
73080,2,6.0,1.0,3,27,625,033-0
4700,3,24.0,1.0,5,29,626,158-6
50290,3,5.0,2.0,4,23,627,265-7
20289,1,6.0,1.0,4,25,629,249-4
15000,4,4.0,2.0,5,29,631,126-1
15530,4,6.0,1.0,5,27,634,044-1
82134,2,6.0,1.0,5,25,635,265-2
83117,4,7.0,1.0,2,33,636,703-5
55310,4,6.0,2.0,5,37,637,316-3
38020,2,6.0,1.0,5,23,638,119-2
55760,4,6.0,1.0,5,37,640,082-3
6220,3,4.0,1.0,5,27,642,002-3
42184,3,9.0,1.0,4,24,645,123-6
43974,2,6.0,1.0,2,32,646,031-9
9360,3,6.0,2.0,5,29,647,124-6
83180,2,5.0,1.0,5,29,648,553-7
81271,3,6.0,1.0,5,36,649,288-A
20303,4,24.0,1.0,5,28,650,006-6
73080,1,6.0,1.0,3,29,653,033-0
4650,3,6.0,1.0,5,26,654,141-0
40880,3,6.0,1.0,5,26,655,081-4
50070,4,6.0,2.0,4,28,658,041-5
2600,6,9.0,1.0,6,33,661,039-8
50265,1,5.0,1.0,4,25,664,172-9
7070,2,24.0,1.0,5,28,665,116-7
55016,3,1.0,1.0,4,38,666,457-0
58089,4,20.0,1.0,5,74,667,137-6
56530,2,6.0,1.0,5,29,668,074-5
38204,1,6.0,2.0,5,24,670,036-2
9910,3,24.0,2.0,5,31,672,389-7
76047,4,6.0,1.0,5,33,673,127-A
50226,2,6.0,2.0,1,47,674,255-3
25017,4,6.0,1.0,5,26,676,158-5
45180,2,6.0,2.0,4,27,677,537-4
92800,2,6.0,1.0,3,32,678,021-5
42854,3,1.0,1.0,5,23,679,065-2
45402,3,24.0,1.0,3,24,680,086-1
50170,4,36.0,2.0,5,28,681,333-5
31030,2,26.0,2.0,4,56,683,387-4
39901,3,24.0,1.0,2,25,684,474-7
6450,2,1.0,2.0,2,31,685,018-4
22427,4,1.0,1.0,5,26,687,255-6
76243,2,6.0,1.0,4,23,688,026-5
52060,2,6.0,1.0,5,35,689,004-3
76118,3,6.0,1.0,3,47,690,073-1
50010,2,6.0,1.0,2,24,691,312-3
45530,2,24.0,1.0,3,24,692,186-2
55024,3,6.0,1.0,4,24,693,453-2
55890,3,6.0,2.0,5,27,694,042-5
32583,4,9.0,1.0,5,26,697,454-6
29950,2,,1.0,1,41,700,226-0
16780,3,9.0,2.0,5,33,702,156-3
42083,3,9.0,1.0,5,28,703,054-8
86100,3,6.0,1.0,4,34,704,082-7
68120,3,9.0,2.0,5,30,705,155-6
53420,3,6.0,1.0,4,32,706,191-5
51400,4,32.0,1.0,5,27,707,063-8
52765,2,6.0,1.0,4,37,708,047-3
7180,2,6.0,2.0,3,23,709,276-7
55490,2,6.0,1.0,3,25,710,279-0
50160,4,25.0,1.0,5,39,711,086-2
54935,2,6.0,2.0,5,28,712,014-A
7950,3,19.0,1.0,5,36,713,212-7
37680,4,20.0,2.0,5,22,714,370-1
16038,2,6.0,1.0,3,28,715,009-0
98500,3,6.0,1.0,4,25,716,042-0
57200,4,26.0,1.0,4,29,717,031-2
1840,3,2.0,1.0,6,38,718,205-7
8800,3,36.0,1.0,2,30,720,076-8
82132,4,9.0,1.0,4,25,721,140-4
77539,3,6.0,1.0,3,27,722,384-A
71226,3,37.0,2.0,5,30,723,007-7
6300,2,6.0,1.0,5,31,724,063-A
16020,3,2.0,1.0,5,27,725,006-7
63300,2,6.0,1.0,5,30,726,061-A
53650,2,6.0,2.0,3,38,727,208-2
7100,3,8.0,1.0,5,32,728,325-2
57140,3,6.0,1.0,5,29,729,018-7
14240,2,6.0,1.0,5,25,730,032-2
9900,3,6.0,1.0,2,38,731,215-5
36773,3,6.0,1.0,2,23,732,044-5
6700,2,6.0,2.0,3,31,734,099-8
55050,4,6.0,2.0,2,56,735,005-0
55140,4,5.0,1.0,5,66,736,174-A
57000,3,6.0,2.0,5,25,737,079-3
3100,4,6.0,1.0,3,39,738,041-6
1400,2,9.0,2.0,5,26,740,236-2
45190,2,6.0,2.0,5,36,741,306-2
42186,1,9.0,2.0,1,65,742,154-1
4480,1,6.0,2.0,3,55,743,170-7
55067,4,2.0,1.0,2,25,744,331-8
1410,3,6.0,1.0,3,28,745,047-4
2750,3,7.0,1.0,3,24,747,103-8
14200,2,6.0,2.0,5,24,748,062-3
53000,6,6.0,1.0,5,30,749,146-A
39350,2,9.0,1.0,3,29,753,277-4
55748,1,6.0,1.0,5,24,755,044-8
85203,3,6.0,1.0,3,44,756,307-6
